;;X long; Y lat;siren;nom;PLCI norme;plci;Nom de l'Entreprise 
;;5,81772;45,219864;848743027;2155;0.176290341631932;1.55897298742979;TIMKL
;;5,819505;45,221682;882065477;2191;0.176290341631932;1.55897298742979;CDI FLEX'
;;5,805095;45,216331;883598294;2196;0.176290341631932;1.55897298742979;EMBECTA FRANCE
;;;;308717941;2558;0.176290341631932;1.55897298742979;ANDRITZ PERFOJET SAS
;;5,807058;45,215919;316534783;2576;0.176290341631932;1.55897298742979;GAMESYSTEM
;;5,813415;45,218762;331170407;2604;0.176290341631932;1.55897298742979;MICROSTORE
;;5,811606;45,216308;332126309;2607;0.176290341631932;1.55897298742979;KLA-TENCOR FRANCE SARL
;;;;383505187;2700;0.176290341631932;1.55897298742979;THE MATHWORKS
;;5,811606;45,216308;391237013;2715;0.176290341631932;1.55897298742979;TECHNIDATA
;;5,811512;45,218342;430450981;2800;0.176290341631932;1.55897298742979;SYNOPSYS EMULATION AND VERIFICATION
;;5,806063;45,21484;441433075;2838;0.176290341631932;1.55897298742979;VERIZON CONNECT FRANCE
;;5,805613;45,214272;444495774;2845;0.176290341631932;1.55897298742979;CAPGEMINI ENGINEERING RESEARCH AND DEVELOPMENT
;;5,807507;45,217111;450538830;2861;0.176290341631932;1.55897298742979;PROBAYES
;;5,817213;45,219757;477711972;2871;0.176290341631932;1.55897298742979;UNITY SEMICONDUCTOR
;;5,813253;45,217848;507984557;2927;0.176290341631932;1.55897298742979;COMARCH R&D
;;5,808837;45,218794;802775361;3069;0.176290341631932;1.55897298742979;NORMEC ABIOLAB
;;5,810488;45,218013;822540043;3079;0.176290341631932;1.55897298742979;CORIN FRANCE
;;5,810617;45,218847;70501275;3147;0.176290341631932;1.55897298742979;TORNIER
;;;;213802499;3200;0.176290341631932;1.55897298742979;COMMUNE DE MONTBONNOT SAINT MARTIN
;;5,805095;45,216331;322882705;3265;0.176290341631932;1.55897298742979;METROLOGIC GROUP
;;5,806187;45,213479;324103829;3267;0.176290341631932;1.55897298742979;SPIE ICS
;;5,811512;45,218342;345039416;3294;0.176290341631932;1.55897298742979;ORANGE BUSINESS SERVICES
;;;;383003423;3320;0.176290341631932;1.55897298742979;SEIITRA RESEAU
;;5,813168;45,216736;400076576;3338;0.176290341631932;1.55897298742979;ATM GROUP SECURITE
;;5,810743;45,216151;404165946;3347;0.176290341631932;1.55897298742979;MOODY'S ANALYTICS SAS
;;;;423302421;3360;0.176290341631932;1.55897298742979;ARTURIA
;;5,806187;45,213479;507620557;3405;0.176290341631932;1.55897298742979;KALRAY
;;5,808669;45,213684;509653176;3409;0.176290341631932;1.55897298742979;EATON INDUSTRIES (FRANCE) SAS
;;5,807238;45,217994;180089047;3513;0.176290341631932;1.55897298742979;INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE
;;5,813168;45,216736;344382874;3533;0.176290341631932;1.55897298742979;GSF ORION
;;5,809902;45,216356;381031285;3541;0.176290341631932;1.55897298742979;OPEN
;;5,806187;45,213479;392527404;3543;0.176290341631932;1.55897298742979;EUROMASTER FRANCE
;;5,808669;45,213684;428677124;3550;0.176290341631932;1.55897298742979;THALES SERVICES NUMERIQUES SAS
;;;;799348255;3569;0.176290341631932;1.55897298742979;KAIZEN SOLUTIONS
;;5,811374;45,217437;70501275;3584;0.176290341631932;1.55897298742979;TORNIER
;;5,818559;45,221869;303409593;3608;0.176290341631932;1.55897298742979;ELIOR SERVICES PROPRETE ET SANTE
;;5,805613;45,214272;479766842;3706;0.176290341631932;1.55897298742979;CAPGEMINI TECHNOLOGY SERVICES
;;;;331278309;602;0.17271963278292;1.5475;CARRIERES ET CHAUX BALTHAZARD ET COTTE
;;5,634004;44,916944;193800448;127;0.169755092643211;1.5379746835443;COLLEGE MARCEL CUYNAT
;;5,235146;45,593086;531481562;1674;0.169051594745796;1.53571428571429;SERPOLLET DAUPHINE
;;5,407229;45,444947;379244957;880;0.168863870240192;1.53511111111111;SSIAD DES TERRES FROIDES
;;5,615807;45,441573;339155301;658;0.168549193011193;1.53410002674512;SERPOLLET EAU SILLON ALPIN
;;;;693620478;2974;0.168549193011193;1.53410002674512;SOCIETE INDUSTRIELLE DE TISSAGES PM
;;;;779601012;3041;0.168549193011193;1.53410002674512;CENT PNEUMO HENRI BAZIRE
;;;;55502868;2290;0.1684820521505;1.53388429752066;MULTIBASE
;;5,589769;45,48846;200035079;156;0.168465954853981;1.53383257555496;CENTRE INTERCOMMUNAL D'ACTION SOCIALE
;;;;213802564;246;0.168465954853981;1.53383257555496;COMMUNE DE MONTFERRAT
;;5,540598;45,380288;213802705;249;0.168465954853981;1.53383257555496;COMMUNE DE LA MURETTE
;;5,64561;45,378989;213803836;268;0.168465954853981;1.53383257555496;COMMUNE DE SAINT ETIENNE DE CROSSEY
;;5,635864;45,456239;213803869;270;0.168465954853981;1.53383257555496;COMMUNE DE SAINT GEOIRE EN VALDAINE
;;;;379241607;879;0.168465954853981;1.53383257555496;ASS AIDE MENAGERE MILIEU RURAL
;;5,527906043;45,38561602;409803178;1115;0.168465954853981;1.53383257555496;SARL SERMORENS CONSULTANTS
;;;;429396153;1234;0.168465954853981;1.53383257555496;WEEPACKUP
;;;;309342632;2560;0.168465954853981;1.53383257555496;ASS NATIONALE POUR LA READAPTATION PROFESSION ET LA REINSERTION SOCIALE
;;;;383381365;2698;0.168465954853981;1.53383257555496;DASA
;;;;263800229;3238;0.168465954853981;1.53383257555496;CENTRE HOSPITALIER DE SAINT GEOIRE EN VALDAINE
;;;;414043711;3547;0.168465954853981;1.53383257555496;SOCIETE TRAVAUX GROS OEUVRE
