id;label;siren;long;lat;PLCI norme;Plci
228;COMMUNE DE GRENO;213801855;5,713258;45,189235;0.0220002008273822;1.06322580645161
229;COMMUNE DE GRENOB;213801855;5,739502;45,182943;0.132257356466653;1.41749130783632
230;COMMUNE DE GRENOB;213801855;5,748699;45,179096;0.132257356466653;1.41749130783632
231;COMMUNE DU GUA;213801871;5,644992;45,021802;0.15473165891396;1.48970312917892
232;COMMUNE D HERBEYS;213801889;5,793057;45,139051;0.15473165891396;1.48970312917892
233;COMMUNE D HEYRIEUX;213801897;5,063811;45,628974;0.334942269278478;2.06873495587055
234;COMMUNE D HIERES SU;213801905;5,292286;45,79791;0.36296295500221;2.15876777251185
235;COMMUNE DE L ISLE D ABEAU;213801939;;;0.282918421020823;1.90157796202193
236;COMMUNE DE L ISLE;213801939;5,220235;45,619504;0.270314234678438;1.86107965269913
237;COMMUNE D IZEAUX;213801947;5,426243;45,332381;0.269766792181288;1.859320673977
238;COMMUNE DE JANNEYRIAS;213801970;;;0.285582042051615;1.91013640010698
239;COMMUNE DE LIVET;213802127;5,904128;45,092981;0.307757335010324;1.98138747884941
240;COMMUNE DE LUMBIN;213802143;5,908889;45,306406;0.179286915291573;1.56860123027547
241;COMMUNE DE LUZINAY;213802150;4,95605;45,589049;0.574449482150168;2.83829174664107
242;COMMUNE DE MIRIBEL;213802366;5,70758;45,428834;0.285914994680464;1.91120620486761
243;COMMUNE DE MOIDIEU;213802382;5,01794;45,512287;0.579490979441013;2.85449050086356
244;COMMUNE DE MONTALIE;213802473;5,4037;45,815843;0.299815766934909;1.95587055362396
245;COMMUNE DE MONTAL;213802473;5,400241;45,807534;0.299815766934909;1.95587055362396
246;COMMUNE DE MONTFERRAT;213802564;;;0.168465954853981;1.53383257555496
247;COMMUNE DE MOREST;213802614;5,469264;45,677994;0.298650432733938;1.95212623696175
248;COMMUNE DE LA MOT;213802655;5,743452;44,961808;0.594804438632674;2.90369393139842
249;COMMUNE DE LA MUR;213802705;5,540598;45,380288;0.168465954853981;1.53383257555496
250;COMMUNE DE NIVOLAS;213802762;5,30679;45,557043;0.284832898636705;1.90772933939556
251;COMMUNE DE NOYARE;213802812;5,629359;45,245306;0.154481944442323;1.48890077560845
252;COMMUNE D OYTIER;213802887;5,020819;45,562373;0.610181834201787;2.95310279488394
253;COMMUNE DU PEAGE;213802986;4,797175;45,371274;0.304810056367644;1.97191762503343
254;COMMUNE DE POISAT;213803091;5,759878;45,159305;0.15473165891396;1.48970312917892
255;COMMUNE DU PONT DE BEAUVOISIN;213803158;;;0.260527356730728;1.82963359186948
256;COMMUNE DE PONT D;213803166;5,178395;45,749813;0.284916136793917;1.90799679058572
257;COMMUNE DE PONT EV;213803182;4,920907;45,527314;0.29873367089115;1.95239368815191
258;COMMUNE DE PORCIE;213803208;5,401442;45,834121;0.573076198210998;2.83387927000468
259;COMMUNE DE REV;213803349;5,868057012;45,18531697;0.0986898139051851;1.30963597430407
260;COMMUNE DE REVENTIN;213803364;4,840716;45,467827;0.299732528777697;1.95560310243381
261;COMMUNE DE ROCHE;213803398;5,159814;45,588415;0.61512598418935;2.96898876404494
262;COMMUNE DES ROCHES DE CONDRIEU;213803406;;;0.591665328153247;2.89360770577933
263;COMMUNE DE ROUSSIL;213803448;4,81251;45,371368;0.303228531380612;1.96683605242043
264;COMMUNE DE SABLON;213803497;4,773216;45,318404;0.587686666989991;2.88082393330064
265;COMMUNE DE SAINT ALB;213803521;5,224104;45,596445;0.28541556573719;1.90960149772666
266;COMMUNE DE SAINT AND;213803570;5,53499;45,54627;0.260943547516789;1.83097084782027
267;COMMUNE DE SAINT C;213803778;5,479069;45,573327;0.260693833045153;1.8301684942498
268;COMMUNE DE SAINT E;213803836;5,64561;45,378989;0.168465954853981;1.53383257555496
269;COMMUNE DE SAINT ETIENNE DE SAINT GEOIRS;213803844;;;0.268185267194255;1.854239101364
270;COMMUNE DE SAINT;213803869;5,635864;45,456239;0.168465954853981;1.53383257555496
271;COMMUNE DE SAINT;213803885;5,701362;45,037892;0.154565182599536;1.48916822679861
272;COMMUNE DE SAINT;213803893;5,078678;45,555882;0.336274079793874;2.07301417491308
273;COMMUNE DE SAINT JE;213804008;5,582621;45,3416;0.167883287753495;1.53196041722386
274;COMMUNE DE SAINT J;213804016;5,429745;45,572312;0.461532902682386;2.47548129313476
275;COMMUNE DE SAINT;213804057;5,697242;45,374803;0.285914994680464;1.91120620486761
